form	lemma	xpostag	NER-BIO
szingapúri	szingapúri	[/Adj][Nom]	O
Outbreak	outbreak	[/N][Nom]	B-ORG
News	News	[/N][Nom]	I-ORG
Today	Today	[/N][Nom]	E-ORG
január	január	[/N][Nom]	O
5-én	5-én	[/N][Nom]	O
jelentette	jelent	[/V][Pst.Def.3Sg]	O
,	,	[Punct]	O
hogy	hogy	[/Cnj]	O
a	a	[/Det|Art.Def]	O
kínai	kínai	[/Adj][Nom]	O
Hupej	Hupej	[/N][Nom]	B-LOC
tartományban	tartomány	[/N][Ine]	E-LOC
,	,	[Punct]	O
Vuhan	Vuhan	[/N]	1-LOC
városában	város	[/N][Poss.3Sg][Ine]	O
dolgozó	dolgozó	[/Adj][Nom]	O
egészségügyi	egészségügyi	[/Adj][Nom]	O
tisztviselők	tisztviselő	[/N][Pl][Nom]	O
összesen	összesen	[/Adv]	O
59	59	[/Num|Digit][Nom]	O
vírusos	vírusos	[/Adj][Nom]	O
tüdőgyulladásos	tüdőgyulladásos	[/Adj][Nom]	O
beteget	beteg	[/N][Acc]	O
jelentettek	jelent	[/V][Pst.NDef.3Pl]	O
(	(	[Punct]	O
január	január	[/N][Nom]	O
5-ig	5	[/Num|Digit][Ter]	O
)	)	[Punct]	O
,	,	[Punct]	O
köztük	közt	[/Post][3Pl]	O
7	7	[/Num|Digit][Nom]	O
kritikus	kritikus	[/Adj][Nom]	O
állapotú	állapotú	[/Adj][Nom]	O
beteget	beteg	[/N][Acc]	O
.	.	[Punct]	O

A	a	[/Det|Art.Def]	O
tudósok	tudós	[/N][Pl][Nom]	O
azt	az	[/Det|Pro][Acc]	O
gyanították	gyanít	[/V][Pst.Def.3Pl]	O
,	,	[Punct]	O
hogy	hogy	[/Cnj]	O
egy	egy	[/Det|Art.NDef]	O
koronavírust	koronavírus	[/N][Acc]	O
hordozó	hordozó	[/Adj][Nom]	O
ismeretlen	ismeretlen	[/Adj][Nom]	O
állat	állat	[/N][Nom]	O
fertőzte	fertőz	[/V][Pst.Def.3Sg]	O
meg	meg	[/Prev]	O
a	a	[/Det|Art.Def]	O
vírussal	vírus	[/N][Ins]	O
az	az	[/Det|Art.Def]	O
embereket	ember	[/N][Pl][Acc]	O
Vuhanban	Vuhan	[/N][Ine]	O
,	,	[Punct]	O
ahol	ahol	[/Adv|Pro|Rel]	O
az	az	[/Det|Art.Def]	O
első	egy	[/Num][_Ord/Adj][Nom]	O
eseteket	eset	[/N][Pl][Acc]	O
már	már	[/Adv]	O
2019	2019	[/Num|Digit][Nom]	O
decemberében	december	[/N][Poss.3Sg][Ine]	O
dokumentálták	dokumentál	[/V][Pst.Def.3Pl]	O
.	.	[Punct]	O

December	december	[/N][Nom]	O
végén	vég	[/N][Poss.3Sg][Supe]	O
már	már	[/Adv]	O
az	az	[/Det|Art.Def]	O
orvosok	orvos	[/N][Pl][Nom]	O
tudták	tud	[/V][Pst.Def.3Pl]	O
,	,	[Punct]	O
hogy	hogy	[/Cnj]	O
furcsa	furcsa	[/Adj][Nom]	O
vírusos	vírusos	[/Adj][Nom]	O
esetek	eset	[/N][Pl][Nom]	O
halmozódnak	halmozódik	[/V][Prs.NDef.3Pl]	O
fel	fel	[/Prev]	O
a	a	[/Det|Art.Def]	O
kínai	kínai	[/Adj][Nom]	O
metropoliszban	metropolisz	[/N][Ine]	O
.	.	[Punct]	O

A	a	[/Det|Art.Def]	O
kínai	kínai	[/Adj][Nom]	O
hatóságok	hatóság	[/N][Pl][Nom]	O
szerint	szerint	[/Post]	O
egy	egy	[/Det|Art.NDef]	O
hétvégén	hétvége	[/N][Supe]	O
kezdődött	kezdődik	[/V][Pst.NDef.3Sg]	O
a	a	[/Det|Art.Def]	O
megbetegedések	megbetegedés	[/N][Pl][Nom]	O
sorozata	sorozat	[/N][Poss.3Sg][Nom]	O
és	és	[/Cnj]	O
az	az	[/Det|Art.Def]	O
első	egy	[/Num][_Ord/Adj][Nom]	O
igazolt	igazol	[/V][Pst.NDef.3Sg]	O
koronavírusos	koronavírusos	[/Adj][Nom]	O
fertőzéses	fertőzéses	[/Adj][Nom]	O
eset	eset	[/N][Nom]	O
,	,	[Punct]	O
2019.	2019.	[/Num|Digit][_Ord/Adj][Nom][]	O
december	december	[/N][Nom]	O
8-ára	8-ár	[/N][Poss.3Sg][Nom]	O
nyúlik	nyúlik	[/V][Prs.NDef.3Sg]	O
vissza	vissza	[/Prev]	O
.	.	[Punct]	O

